challenge   wvk     margin        se      z  stored  restored  note
chal-00534  <=14   0.00020   0.00063   0.32  False   False     pre-wvk-15
chal-00535  <=14  -0.00099   0.00075  -1.32  False   False     pre-wvk-15
chal-00536  <=14   0.00049   0.00074   0.67  False   False     pre-wvk-15
chal-00538  <=14  -0.00078   0.00063  -1.24  False   False     pre-wvk-15
chal-00539  <=14   0.00154   0.00071   2.16  False   False     pre-wvk-15
chal-00540  <=14   0.00016   0.00068   0.24  False   False     pre-wvk-15
chal-00541  <=14  -0.00309   0.00075  -4.14  False   False     pre-wvk-15
chal-00543  <=14   0.00033   0.00067   0.49  False   False     pre-wvk-15
chal-00544  <=14   0.00090   0.00065   1.40  False   False     pre-wvk-15
chal-00545  <=14  -0.00012   0.00071  -0.17  False   False     pre-wvk-15
chal-00546  <=14  -0.00131   0.00064  -2.06  False   False     pre-wvk-15
chal-00547  <=14  -0.00031   0.00076  -0.41  False   False     pre-wvk-15
chal-00548  <=14   0.00049   0.00082   0.60  False   False     pre-wvk-15
chal-00549  <=14   0.00046   0.00052   0.87  False   False     pre-wvk-15
chal-00550  <=14  -0.00043   0.00060  -0.72  False   False     pre-wvk-15
chal-00551  <=14   0.00023   0.00069   0.33  False   False     pre-wvk-15
chal-00552  <=14  -0.00010   0.00054  -0.18  False   False     pre-wvk-15
chal-00553  <=14   0.00077   0.00056   1.39  False   False     pre-wvk-15
chal-00555  <=14  -0.00450   0.00081  -5.53  False   False     pre-wvk-15
chal-00556  <=14   0.00220   0.00070   3.13  False   False     pre-wvk-15
chal-00557  <=14  -0.00088   0.00062  -1.43  False   False     pre-wvk-15
chal-00559  <=14  -0.00432   0.00080  -5.41  False   False     pre-wvk-15
chal-00560  <=14  -0.00222   0.00092  -2.41  False   False     pre-wvk-15
chal-00561  <=14  -0.00030   0.00060  -0.50  False   False     pre-wvk-15
chal-00562  <=14   0.00109   0.00065   1.67  False   False     pre-wvk-15
chal-00563  <=14  -0.00070   0.00067  -1.04  False   False     pre-wvk-15
chal-00564  <=14   0.00185   0.00062   2.98  False   False     pre-wvk-15
chal-00565  <=14   0.00115   0.00069   1.66  False   False     pre-wvk-15
chal-00566  <=14   0.00143   0.00061   2.34  False   False     pre-wvk-15
chal-00567  <=14  -0.00327   0.00081  -4.05  False   False     pre-wvk-15

wvk<=14 rows: 30/30 decisions reproduced bit-identically
wvk 15 rows : 0/0 agree with the stamped duel_rule_wins; under the restored rule none of them would have crowned unless marked restored=True
