centered-Reason replay over 208 v4 duels (k=3, LME-mean centering; delta=0.002)

challenge   challenger               old margin   old z  W  cen margin   cen z  W chall cenR  king cenR
chal-00953  diceofgod                   0.00051    0.62  .     0.00023    0.57  .    0.00972    0.00951
chal-00954  Talucampe037               -0.00004   -0.06  .     0.00029    0.85  .    0.00918    0.00888
chal-00955  diceofgod                   0.00011    0.16  .     0.00023    0.66  .    0.00968    0.00944
chal-00956  afgod1079                   0.00022    0.34  .    -0.00069   -1.81  .    0.00860    0.00929
chal-00957  unconst                    -0.00066   -1.16  .     0.00004    0.16  .    0.00887    0.00885
chal-00958  aurora1001                 -0.00060   -1.29  .    -0.00006   -0.26  .    0.00947    0.00952
chal-00959  ammazon                     0.00073    1.31  .    -0.00006   -0.21  .    0.00901    0.00907
chal-00960  Sansaliu                    0.00042    0.72  .     0.00025    0.78  .    0.00973    0.00948
chal-00961  unconst                     0.00047    0.62  .     0.00019    0.49  .    0.00935    0.00917
chal-00962  unconstai                  -0.00013   -0.20  .    -0.00027   -0.75  .    0.00966    0.00992
chal-00963  ammazon                     0.00040    0.63  .    -0.00006   -0.18  .    0.01035    0.01039
chal-00964  rlchampion                  0.00030    0.56  .    -0.00085   -3.03  .    0.00904    0.00989
chal-00965  dora7                      -0.00071   -1.13  .    -0.00059   -1.86  .    0.00899    0.00959
chal-00966  afgod1079                   0.00092    1.29  .     0.00045    1.44  .    0.01089    0.01044
chal-00967  unconst                     0.00143    2.77  .     0.00031    0.96  .    0.01068    0.01038
chal-00968  vikingL08                   0.00098    1.66  .     0.00019    0.66  .    0.00888    0.00868
chal-00969  pandora-box                 0.00040    0.58  .     0.00045    1.29  .    0.00961    0.00916
chal-00970  vera6                       0.00053    0.68  .     0.00088    2.02  .    0.01003    0.00915
chal-00971  vera6                      -0.00088   -1.28  .    -0.00011   -0.28  .    0.00944    0.00957
chal-00972  dives000                   -0.00128   -1.65  .     0.00009    0.17  .    0.01027    0.01017
chal-00973  unconstai                  -0.00088   -1.23  .     0.00102    2.39  .    0.01126    0.01025
