chal-00659 uid  213 verdict  live -0.307 z -5.01 | two -0.299 z -4.88 ctrl -0.58 z -6.1 binds {'A': 0.5, 'R': 0.25, 'Gc': 0.24} | one -0.309 z -5.05 ctrl -0.58 z -6.0 binds {'A': 0.51, 'R': 0.27, 'Gc': 0.22} | decision same
chal-00660 uid  230 verdict  live -0.037 z -0.71 | two -0.021 z -0.40 ctrl -0.45 z -5.1 binds {'Gc': 0.19, 'A': 0.49, 'R': 0.32} | one -0.015 z -0.28 ctrl -0.44 z -5.0 binds {'Gc': 0.17, 'A': 0.5, 'R': 0.34} | decision same
chal-00661 uid    4 verdict  live -0.023 z -0.33 | two -0.027 z -0.39 ctrl -0.35 z -3.7 binds {'Gc': 0.18, 'R': 0.35, 'A': 0.47} | one -0.029 z -0.42 ctrl -0.35 z -3.6 binds {'Gc': 0.14, 'R': 0.38, 'A': 0.48} | decision same
chal-00662 uid   36 crowned  live +0.229 z +4.93 | two +0.236 z +5.20 ctrl -0.48 z -5.2 binds {'A': 0.5, 'R': 0.35, 'Gc': 0.15} | one +0.239 z +5.27 ctrl -0.48 z -5.1 binds {'A': 0.52, 'R': 0.37, 'Gc': 0.11} | decision same
chal-00663 uid   11 verdict  live -0.051 z -1.19 | two -0.052 z -1.20 ctrl -0.58 z -6.7 binds {'A': 0.51, 'Gc': 0.13, 'R': 0.36} | one -0.049 z -1.13 ctrl -0.57 z -6.6 binds {'A': 0.53, 'Gc': 0.1, 'R': 0.37} | decision same
chal-00664 uid   73 verdict  live -0.237 z -4.74 | two -0.232 z -4.65 ctrl -0.64 z -7.6 binds {'A': 0.48, 'Gc': 0.19, 'R': 0.33} | one -0.224 z -4.46 ctrl -0.64 z -7.5 binds {'A': 0.5, 'Gc': 0.15, 'R': 0.35} | decision same
chal-00665 uid  235 verdict  live +0.000 z +0.01 | two -0.004 z -0.08 ctrl -0.72 z -8.6 binds {'R': 0.34, 'A': 0.51, 'Gc': 0.15} | one +0.003 z +0.07 ctrl -0.72 z -8.5 binds {'R': 0.36, 'A': 0.54, 'Gc': 0.11} | decision same
chal-00667 uid  237 verdict  live +0.013 z +0.41 | two +0.014 z +0.44 ctrl -0.70 z -7.7 binds {'A': 0.52, 'Gc': 0.14, 'R': 0.34} | one +0.016 z +0.48 ctrl -0.69 z -7.6 binds {'A': 0.53, 'Gc': 0.11, 'R': 0.35} | decision same
chal-00668 uid  234 verdict  live -0.025 z -0.62 | two -0.023 z -0.58 ctrl -0.67 z -7.3 binds {'R': 0.35, 'Gc': 0.14, 'A': 0.51} | one -0.021 z -0.53 ctrl -0.66 z -7.3 binds {'R': 0.37, 'Gc': 0.11, 'A': 0.52} | decision same

verdicts 30; decisions changed under (i): 0; crowns two 1 one 1
mean ctrl z: two -5.7 one -5.6; min ctrl z two -8.6 one -8.5
share of valid miner turns with m_c ABOVE μ_c (freed by (i)): 0.38; share with content tokens > refs' max (where (ii) truncates): 0.31
